objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23766E+18,122.6830291,38.97524546,19.54315,18.21904,17.65695,17.3089,17.05784,8.54605E+17,GALAXY,0.07199457
1.23766E+18,187.7864583,58.69966735,18.86534,17.59941,16.99972,16.62818,16.41805,1.48183E+18,GALAXY,0.06701303
1.23766E+18,183.7649945,37.04519662,19.30281,18.07503,17.59418,17.29086,17.16877,2.37018E+18,GALAXY,0.05396049
1.23767E+18,230.5227628,20.35047041,19.3534,18.02813,17.33937,16.96714,16.68171,2.42745E+18,GALAXY,0.03965607
1.23766E+18,345.2162235,-8.537023593,19.35903,18.33268,17.92363,17.72734,17.51646,8.1638E+17,GALAXY,0.02455055
1.23767E+18,257.9969754,64.27667907,18.74921,17.55322,17.06017,16.68416,16.47886,3.94116E+17,GALAXY,0.08157673
1.23767E+18,122.5942288,35.50922697,18.6776,17.31749,16.82754,16.47778,16.32719,1.00434E+18,GALAXY,0.08474484
1.23766E+18,188.1302685,8.816286266,19.28948,18.35954,17.75252,17.44414,17.30083,1.38712E+18,GALAXY,0.1603024
1.23766E+18,112.0198029,41.96330599,17.92362,15.9335,14.95922,14.49017,14.14295,2.09883E+18,GALAXY,0.05618459
1.23766E+18,248.7698614,24.974003,19.37844,18.09782,17.64633,17.40865,17.2565,1.58645E+18,GALAXY,0.05791321
1.23767E+18,219.0677512,16.54716263,19.47963,17.57625,16.73631,16.34806,16.02982,3.10981E+18,GALAXY,0.05424925
1.23767E+18,225.888712,13.24031727,19.14749,17.98189,17.59719,17.39587,17.22795,3.09739E+18,GALAXY,0.0352804
1.23765E+18,27.18144021,13.687544,19.02999,17.85571,17.31923,17.05293,16.84373,4.84222E+17,GALAXY,0.04465526
1.23766E+18,245.8661818,37.83105135,17.50639,15.7655,14.98547,14.60638,14.31003,1.50536E+18,GALAXY,0.02850297
1.23767E+18,218.8209991,17.24517282,18.58242,17.38216,16.80063,16.42247,16.21689,3.10876E+18,GALAXY,0.1136759
1.23767E+18,190.9272059,35.28455317,19.26507,17.26985,16.2727,15.86668,15.5299,2.27663E+18,GALAXY,0.1007752
1.23766E+18,122.6608097,36.18550268,19.573,17.5954,16.62964,16.18524,15.85165,1.00443E+18,GALAXY,0.08218349
1.23767E+18,215.6443994,17.71936736,18.74287,17.58367,17.11859,16.82593,16.65648,3.10651E+18,GALAXY,0.05397118
1.23766E+18,233.9216949,25.56694344,19.58132,18.23013,17.46665,17.08544,16.78058,2.43549E+18,GALAXY,0.1215427
