objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,163.5529914,4.120324845,19.50838,17.23162,16.31352,16.0901,15.86671,3.65027E+18,STAR,-7.51E-06
1.23767E+18,238.5072146,12.688909,19.29874,18.40533,18.11159,17.99571,17.93174,5.49684E+18,STAR,-0.000201034
1.23768E+18,343.7336754,15.2302562,18.70104,17.46025,17.31331,17.24821,17.25163,8.34414E+17,STAR,-0.001217888
1.23767E+18,247.797447,14.52073579,18.73462,17.47861,17.5357,17.64227,17.66994,2.48051E+18,STAR,-0.000289534
1.23766E+18,156.3433378,37.84077602,17.82262,16.70481,16.79491,16.88699,16.97431,3.67272E+18,STAR,0.000405741
1.23765E+18,124.2831518,47.52827498,18.16601,16.58234,15.91436,15.6252,15.47769,3.57369E+18,STAR,-7.18E-06
1.23766E+18,169.2279719,52.69096563,16.98402,15.96697,15.66298,15.5516,15.51555,9.88662E+17,STAR,-0.000368589
1.23766E+18,43.39449342,-0.229096151,18.3735,17.221,16.76501,16.60229,16.53893,3.58495E+18,STAR,-0.000271807
1.23767E+18,211.3471738,-9.937334295,17.5987,15.973,15.424,15.23184,15.1542,3.05795E+18,STAR,-2.08E-05
1.23766E+18,117.2600507,29.50455239,17.58611,16.26616,15.76348,15.57902,15.51415,3.56466E+18,STAR,-4.47E-05
1.23767E+18,359.5171471,-4.164196989,19.54355,18.58162,18.29335,18.16871,18.16927,7.91871E+18,STAR,-0.000821102
1.23767E+18,195.6156492,17.7817885,19.01816,17.85015,17.79616,17.82492,17.88147,2.92976E+18,STAR,-0.000745346
1.23767E+18,333.1675336,8.300093336,18.39713,17.45448,17.13937,17.00621,16.96593,5.70627E+18,STAR,-0.000527525
1.23767E+18,132.1516879,10.00961101,18.2052,17.13848,16.80954,16.70679,16.68097,2.89812E+18,STAR,8.16E-05
1.23766E+18,118.7215034,28.75171523,19.21033,18.08628,17.62594,17.43202,17.39828,3.5646E+18,STAR,0.000750702
1.23766E+18,232.734442,11.00779383,18.9234,18.5536,18.82006,19.05478,19.33689,3.10079E+18,STAR,-6.25E-05
1.23766E+18,190.7287114,14.39984825,18.53568,17.30649,16.78945,16.57943,16.50354,1.99173E+18,STAR,4.84E-05
1.23767E+18,271.3782838,23.80670813,17.19861,16.18077,15.82164,15.67096,15.59751,2.4591E+18,STAR,-0.000929482
1.23766E+18,240.4712126,24.03391923,18.86703,16.89502,16.33653,15.79476,15.62685,2.08418E+18,STAR,3.02E-05
1.23767E+18,307.2924376,14.13418517,18.90174,17.52003,17.01636,16.85944,16.78052,2.53118E+18,STAR,-2.48E-05
1.23766E+18,207.1132327,8.393951501,18.83125,17.81661,17.48179,17.27227,17.32386,2.03113E+18,STAR,9.04E-05
1.23768E+18,11.34709224,18.22495254,18.58143,17.57708,17.22256,17.07962,17.00626,8.5772E+18,STAR,-0.000769084
1.23767E+18,26.6434297,-0.53525843,18.88669,17.54642,17.0567,16.83574,16.745,4.51493E+17,STAR,-0.00042504
1.23766E+18,351.823248,52.81503093,18.62146,17.19093,16.82449,16.6919,16.58493,1.87129E+18,STAR,-0.000427171
1.23766E+18,231.9646598,50.26216615,18.55453,17.64076,17.33927,17.23751,17.20569,7.56719E+18,STAR,-0.000453705
1.23766E+18,135.746435,29.17724234,19.12573,18.25223,17.94122,17.81655,17.7854,5.83442E+18,STAR,-3.83E-05
1.23766E+18,159.0506349,46.09772714,19.41516,18.45021,18.07328,17.92846,17.88932,1.082E+18,STAR,-7.47E-05
