objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23768E+18,345.9978357,32.2846105,19.58037,19.24102,18.98206,18.86411,18.7278,1.3101E+19,QSO,0.9432599
1.23765E+18,209.0909691,62.17983492,18.14346,18.04793,18.11274,17.91019,17.92731,6.81241E+17,QSO,1.706541
1.23766E+18,213.9687245,12.95856295,19.30742,18.48108,18.25419,18.07532,17.83123,6.14528E+18,QSO,2.472388
1.23767E+18,194.1954561,23.64855399,19.28514,18.97322,19.06122,19.22663,19.07307,2.98265E+18,QSO,0.8151192
1.23767E+18,190.5110539,0.208061473,18.00469,17.59873,17.16588,17.11243,17.08027,4.33374E+18,QSO,1.216158
1.23767E+18,191.3816094,-1.761504277,18.62341,18.34932,17.9477,17.72188,17.61608,3.7844E+17,QSO,0.1575571
1.23767E+18,148.4569999,27.11471562,19.08679,18.96212,18.56651,18.4819,18.46938,1.17454E+19,QSO,1.174074
1.23766E+18,206.6168381,45.88211084,19.11803,19.06377,19.00988,18.8112,18.68884,7.46269E+18,QSO,1.963234
1.23765E+18,147.9664123,61.55794513,19.18379,18.8856,18.7947,18.62676,18.69044,5.47359E+17,QSO,1.527214
1.23766E+18,127.8444937,37.41112921,19.23643,19.0193,18.62057,18.43087,18.19728,9.31273E+17,QSO,0.2522537
1.23765E+18,160.6068042,3.927545956,18.12582,18.06367,17.89709,17.8817,17.96643,6.50829E+17,QSO,1.230271
1.23766E+18,232.9688255,6.628802052,18.99974,18.87255,18.84986,18.67532,18.62469,2.04923E+18,QSO,1.930501
1.23765E+18,131.4738064,55.23880643,19.54848,19.36283,19.32083,19.0481,19.01561,5.04481E+17,QSO,1.767657
1.23768E+18,29.14477645,32.5581407,19.38835,18.94273,19.19193,18.97116,18.712,8.70891E+18,QSO,0.7669266
1.23766E+18,196.281686,13.28375957,19.12178,18.86576,18.73665,18.50211,18.50203,1.90965E+18,QSO,1.541832
1.23766E+18,219.4730535,37.57527674,18.71849,18.69714,18.39552,18.36111,18.45416,1.55611E+18,QSO,1.278985
1.23766E+18,198.9561279,6.346627929,17.54657,17.27633,17.18372,17.25723,17.08181,2.0233E+18,QSO,0.3595574
1.23767E+18,158.1581205,16.64889526,19.3141,19.05769,19.16771,18.98828,18.8849,6.01458E+18,QSO,0.5100843
1.23767E+18,160.5186362,25.87814702,19.51439,19.00228,18.54038,18.31329,18.18902,1.17794E+19,QSO,1.496075
1.23767E+18,171.8567689,18.45570187,19.2747,19.12857,19.14564,18.89213,18.89254,2.81256E+18,QSO,1.745774
1.23766E+18,249.081723,34.43368808,18.94484,18.7126,18.58574,18.59775,18.49505,1.50771E+18,QSO,0.828028
1.23767E+18,196.3848666,35.46727072,19.45786,19.2403,19.12644,18.86725,18.83247,2.26986E+18,QSO,1.624315
1.23766E+18,166.2356815,13.11975739,18.84816,18.4962,18.4329,18.27049,18.21752,1.97151E+18,QSO,1.782505
1.23766E+18,193.6071844,52.89454423,18.10162,17.8737,17.87228,17.67296,17.61951,9.97684E+17,QSO,1.856314
1.23766E+18,218.5578318,51.40008718,19.54859,19.28226,19.2395,18.99659,18.88635,1.49414E+18,QSO,1.609444
1.23768E+18,9.819915867,22.91981665,19.58515,19.37935,19.16915,19.02563,18.92617,8.574E+18,QSO,1.001705
1.23766E+18,208.4116725,48.54870267,18.71552,18.53509,18.27584,18.19092,18.01581,7.59429E+18,QSO,2.145169
1.23766E+18,206.4009393,10.37746642,18.75691,18.65977,18.75523,18.72923,18.34446,2.03127E+18,QSO,0.3940742
